1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,2.963978618,0,0,1.84509804,0,3.441099873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.062953974,0,0,1.113943352,0,3.017196484,0,0,0,0,0,0,0
0,1.408349072,0,0.477121255,1.73239376,0.477121255,3.508719617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.444684443,0,0.301029996,2.130333768,0.301029996,3.444684443
0.301029996,1.61157353,0,-0.301029996,2.017033339,0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.118691333,0,0,2.235528447,0,3.118691333,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.200960356,0,0,2.170261715,0,3.200960356
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.532769472,0,0,2.23299611,0.301029996,3.532769472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.931339283,0,0,2.033423755,0,2.931339283,0,0,0,0,0,0,0
0,3.400398708,0,0,2.004321374,0,3.400398708,0,0,1.132426758,0,1.832508913,0,3.193124598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.142787837,0,0,1.944482672,0,3.142787837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.415851598,0,0,1.84509804,0,3.29666519,0,1.098113835,1.91467186,0.301029996,2.025305865,0.301029996,3.845567294,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.930505254,0,0,0.954242509,0,3.407626509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.110019159,0,0,2.017033339,0,3.411049154
0.301029996,0,2.054357662,-0.301029996,1.531478917,0,3.133538908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.409187392,0,0,1.531478917,0,3.409187392,0,0,1.157206506,0,0.698970004,0,3.407626509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301029996,0,4.263486297,-0.301029996,2.045322979,0,4.263486297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.431117466,0,0,2.139879086,0,3.431117466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301029996,2.010564602,0,-0.301029996,2.021189299,0,3.089745848,0,0,0,0,0,0,0,0,1.094571065,0,0.301029996,1.84509804,0.301029996,3.132555068,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.482731366,0,0.477121255,0.698970004,0.477121255,3.733151369,0,0,0,0,0,0,0,0,0,1.597653201,0,1.934498451,0,3.584424935
0.301029996,2.485465763,0,0,2.017033339,0.301029996,3.263617013,0.301029996,0,1.679349038,-0.301029996,2.204119983,0,3.001568332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.354848975,0,-0.301029996,2.222716471,0,3.39624166
0,0,0,0,0,0,0,0,0,1.468107256,0,1.763427994,0,3.407626509,0,0,1.25013126,0,1.531478917,0,3.414484116,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.737342661,0,2.164352856,0,3.305544385,0,0.799712539,0,0,1.176091259,0,3.017196484,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644696903,0,0.301029996,1.544068044,0.301029996,3.806064905,0,0,2.656417654,0,1.740362689,0,3.610660163
0,0.495631288,0,0,1.51851394,0,2.662948622,0,0,0,0,0,0,0,0.301029996,3.377751804,0,-0.301029996,2.181843588,0,3.6787818,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.240240189,0,0.301029996,2.149219113,0.301029996,3.240240189
0,0,3.678499248,0,2.217483944,0,3.678499248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.700811059,0,0.477121255,1.72427587,0.477121255,3.648428849,0.477121255,0,1.940265091,-0.477121255,1.755874856,0,3.884747764,0,0,0,0,0,0,0,0,0,3.39707055,0,1.84509804,0,3.39707055
0,0,3.710217388,0,1.86332286,0,3.710217388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.673190234,0.301029996,1.919078092,0.301029996,3.670245853,0,0,3.494154594,0,2.181843588,0,3.494154594,0,0,0,0,0,0,0
0.477121255,0,3.47812563,-0.176091259,1.505149978,0.301029996,3.778236085,0.477121255,0,3.006015373,-0.477121255,2.152288344,0,3.483136628,0.301029996,1.992045725,2.144046682,0.301029996,1.431363764,0.602059991,3.757504082,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.001568332,0,2.117271296,0,3.001568332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895972713,0,0.301029996,1.230448921,0.301029996,3.373093967
0,1.501795618,0,0,2.068185862,0,3.301136167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.698970004,1.755358134,1.353073769,-0.22184875,1.86332286,0.477121255,3.877845206,0,0,2.142132979,0,1.477121255,0,3.679763559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.532614854,0,0,1.653212514,0,2.662948622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68136802,0,0,1.342422681,0,3.68136802
0.301029996,0,3.454531791,0,1.505149978,0.301029996,4.327879898,0.602059991,2.177177587,2.12019834,-0.301029996,1.342422681,0.301029996,4.202145325,0,0,4.018345866,0.301029996,2.071882007,0.301029996,4.311550524,0,0,0,0,0,0,0
