B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0.301029996,1.543641109,0,-0.301029996,0,0,0,0,0,0,0,0,0.477121255,2.705891041,0,-0.176091259,N
0,1.371917087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.301029996,2.330006146,0,-0.301029996,0,0,3.407626509,0,0,0,0,0,N
0,0,0,0,0.301029996,2.695584007,0,-0.301029996,0,3.193124598,0,0,0,0,0,0,N
0.602059991,1.461819767,1.565521001,-0.124938737,0.602059991,3.812915178,0,-0.124938737,0.477121255,0,1.307255964,-0.477121255,0.602059991,0,3.28144031,0,N
0,3.375156861,0,0,0,3.723687452,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.452928913,1.961567219,0,N
0.301029996,1.892199412,1.659069652,0.176091259,0,1.510688602,0,0,0,0,0,0,0.477121255,2.281205866,0,-0.477121255,N
0,3.149295725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.477121255,3.493321416,0,-0.176091259,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.301266673,0,0,0,0,0,0,0,0,0,0,0,0,3.895115827,0.477121255,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,1.514830248,0,-0.301029996,N
0,0,0,0,0.301029996,1.991293693,0,-0.301029996,0,0,0,0,0.301029996,2.372056007,0,0,N
0,0,0,0,0,3.710217388,0,0,0,0,3.708656505,0,0,0,0,0,N
0.477121255,3.261463296,1.478892601,0.124938736,0,0,3.098997634,0,0,0,0,0,0,0,0,0,N
0,2.059886426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,2.839951387,0,0,0.301029996,1.589858448,0,-0.301029996,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.838805681,0,N
0.301029996,3.179842713,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.762753284,0,0,0,0,0,0,0,0,0,0,0.477121255,3.896270657,2.752225829,0.124938736,N
0,0,0,0,0.301029996,2.949390757,0,0.176091259,0,0,0,0,0,0,0,0,N
0,2.014711412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.055149606,0,0.698970004,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.176091259,0,0,0,0,3.139879086,0,N
0,0,0,0,0,3.169302314,0,0,0,0,0,0,0,0,0,0,N
0.77815125,3.636502256,1.754761192,-0.176091259,0.602059991,3.495434478,0,-0.124938737,0,0,3.808674728,0.301029996,0,0,0,0,N
0,0,0,0,0,3.384758869,0,0,0,0,0,0,0,0,0,0,N
0.301029996,4.559120102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.39707055,0,-0.301029996,N
0,0,0,0,0,1.40632066,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.847857287,0,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.201660545,0,-0.301029996,N
0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0.69983577,0,0,0,0,0,0,0,0,0,0,0,1.386145287,0,0,N
0,0,0,0,0,2.706289848,0,0,0,3.407626509,0,0,0,0,0,0,N
0,3.149295725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.704032602,1.22053252,0.903089987,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.979957039,0.301029996,N
0,0,0,0,0,0,0,0,0,3.245512668,0,0,0,0,0,0,N
0,0,0,0,0.301029996,1.326402022,0,-0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.268157915,0,0,N
0,0,0,0,0,2.015838581,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.390367187,0,0.301029996,0,0,0,0,0,0,0,0,N
0,2.895533495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.852278116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.13008747,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.265848754,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.26462429,0,0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.138173761,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0.794480012,0,0,N
0.301029996,3.377563083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,2.837174669,0,-0.301029996,0,1.936657335,0.983583301,0.477121255,0,0,0.723003671,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.157794352,0,0,0,0,0,0,N
0,1.47866187,0,0,0,0,0,0,0,0,1.07996266,0,0,0,0,0,N
0.602059991,1.681599667,0,-0.301029996,0,0,0,0,0,0,1.042138524,0,0,3.115372737,3.118691333,0.301029996,N
0,1.818032448,0,0.477121255,0.602059991,2.033218473,0,-0.124938737,0,0,3.140405056,0,0,0,0,0,N
0,1.077636521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.698970004,3.362491695,0,-0.602059991,0,0,0,0,0,0,0,0,0,0,0,0,N
