R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4,Y
1.681241237,0.301029996,3.340410899,1.897627091,0.477121255,3.81122416,2.071882007,0,3.720751325,1.204119983,0.477121255,4.069104356,N
2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0,N
1.886490725,0.477121255,3.504589784,1.69019608,0.301029996,3.951666591,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.230448921,0.301029996,3.620437447,N
0,0,0,0,0,0,0,0,0,1.322219295,0,3.341922592,N
1.913813852,0,3.384758869,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.161368002,0,3.39707055,0,0,0,N
1.748188027,0,3.38393499,0,0,0,0,0,0,2.123851641,0,3.233938144,N
0,0,0,0,0,0,2.243038049,0.301029996,2.847857287,0,0,0,N
0,0,0,0,0,0,2.149219113,0,3.6787818,0,0,0,N
2.123851641,0,3.183411103,1.568201724,0,3.407626509,0,0,0,0,0,0,N
0.84509804,0.903089987,3.77669792,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.653212514,0,3.064697031,N
0,0,0,0,0,0,2.033423755,0.301029996,3.457078293,0,0,0,N
0,0,0,0,0,0,0,0,0,2.021189299,0.301029996,3.470019712,N
0,0,0,1.954242509,0,3.245512668,0,0,0,0,0,0,N
1.591064607,0,3.409187392,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,1.431363764,0,3.268157915,0,0,0,N
2.217483944,0,2.714808585,0,0,0,0,0,0,1.934498451,0,3.378770989,N
2.117271296,0.301029996,3.390367187,0,0,0,0,0,0,0,0,0,N
2.136720567,0,3.13008747,0,0,0,0,0,0,0,0,0,N
2.004321374,0,3.163475845,0,0,0,0,0,0,0,0,0,N
1.886490725,0.477121255,3.853613544,2.012837225,0.301029996,3.762818277,0,0,0,1.322219295,0.477121255,4.13624239,N
2.045322979,0.301029996,3.26462429,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.139879086,0,3.138173761,0,0,0,N
0,0,0,0,0,0,1.113943352,0,3.017196484,0,0,0,N
0,0,0,0,0,0,2.033423755,0,3.494802604,1.342422681,0,3.341922592,N
1.875061263,0.301029996,3.357115416,1.949390007,0.301029996,3.587563863,0,0,0,2.260071388,0.301029996,3.490480051,N
0,0,0,0,0,0,0,0,0,2.033423755,0,3.071889901,N
0,0,0,1.949390007,0,3.130922206,0,0,0,0,0,0,N
0,0,0,1.763427994,0,3.106596513,2.017033339,0.301029996,3.418065201,0,0,0,N
1.973127854,0.477121255,3.84613183,2.045322979,0,3.140405056,0,0,0,0,0,0,N
2.146128036,0,3.17356616,0,0,0,0,0,0,0,0,0,N
0,0,0,1.531478917,0,3.679763559,1.698970004,0,3.741403917,1.568201724,0.301029996,4.011870052,N
0,0,0,0,0,0,0,0,0,2,0.301029996,3.397104443,N
1.792391689,0,3.493004698,0,0,0,0,0,0,0,0,0,N
1.799340549,0.301029996,3.304507143,0,0,0,1.924279286,0.301029996,3.977557231,1.612783857,0.301029996,3.957651606,N
1.84509804,0,3.512484877,1.875061263,0,3.383745137,2.033423755,0,3.394222979,1.986771734,0,3.372919897,N
2.217483944,0,3.297643998,0,0,0,0,0,0,0,0,0,N
1.944482672,0,3.409187392,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.214843848,0,3.315926935,0,0,0,N
2.133538908,0,3.371927343,0,0,0,0,0,0,2.10720997,0,3.35887688,N
1.913813852,0.477121255,3.901051039,0,0,0,0,0,0,0,0,0,N
0,0,0,0.954242509,0.301029996,3.067229833,1.079181246,0,3.064457989,2.133538908,0.477121255,3.282543209,N
0,0,0,0,0,0,0,0,0,2.029383778,0.477121255,3.919371934,N
0,0,0,0,0,0,1.633468456,0,3.318226479,1.556302501,0.301029996,3.592398835,N
0,0,0,0,0,0,0,0,0,1.633468456,0,3.136951054,N
0,0,0,1.812913357,0,3.133538908,0,0,0,0,0,0,N
1.919078092,0.698970004,3.93605683,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.959041392,0.301029996,3.631935961,N
2.187520721,0.301029996,3.193833837,2.068185862,0,3.011445349,0,0,0,0,0,0,N
1.991226076,0,3.172705261,0,0,0,0,0,0,0,0,0,N
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0,N
2.049218023,0,3.153788186,1.851258349,0.301029996,3.596431956,0,0,0,0,0,0,N
2.017033339,0.602059991,3.732147461,0.954242509,0,3.407626509,2.184691431,0,3.118691333,0,0,0,N
2.113943352,0,3.153788186,0,0,0,0,0,0,2.127104798,0,3.200960356,N
1.602059991,1,4.768419581,0,0,0,0,0,0,0,0,0,N
0,0,0,1.959041392,0,3.506828085,2.198657087,0,3.850868922,0,0,0,N
1.913813852,0,3.409187392,0,0,0,1.785329835,0,3.11345412,1.531478917,0,3.408333676,N
0,0,0,0,0,0,0,0,0,2,0.301029996,3.423053232,N
0,0,0,0,0,0,2.161368002,0,3.731863959,1.204119983,0,3.982398016,N
0,0,0,0,0,0,0,0,0,0.903089987,0,3.29666519,N
2.155336037,0,3.17356616,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.407626509,0,0,0,0,0,0,N
0,0,0,0.698970004,0,3.408239965,0,0,0,0,0,0,N
2.146128036,0,2.996614002,0,0,0,0,0,0,0,0,0,N
1.880813592,0,3.337617612,0,0,0,0,0,0,2.130333768,0,3.356995562,N
0,0,0,0,0,0,0,0,0,2.056904851,0,3.137300608,N
0,0,0,0,0,0,1.86923172,0,3.927724531,0,0,0,N
0,0,0,0,0,0,0,0,0,0.477121255,0.301029996,3.987256884,N
1.544068044,0,3.409187392,0,0,0,0,0,0,2.206825876,0,3.606947999,N
1.079181246,0,3.142787837,0,0,0,2.240549248,0,3.107430542,0,0,0,N
1.531478917,0.698970004,3.927268074,1.361727836,0.477121255,3.547273388,2.181843588,0.301029996,3.639176636,1.556302501,0.301029996,3.477988576,N
0,0,0,0,0,0,0,0,0,1.146128036,0,3.064697031,N
2.075546961,0,3.089745848,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.602059991,3.63542392,0,0,0,1.963787827,0,3.466104093,N
2.195899652,0,3.371927343,0,0,0,0,0,0,0,0,0,N
2.045322979,0,3.163475845,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.10720997,0.301029996,3.585962523,N
1.740362689,0.698970004,3.601331506,0,0,0,0,0,0,0,0,0,N
2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,2.209515015,0,3.419721329,1.991226076,0.301029996,3.822536169,N
0,0,0,0,0,0,1.278753601,0.301029996,3.11916598,0,0,0,N
0,0,0,0.84509804,0,3.045222966,1.633468456,0.477121255,3.357390251,0,0,0,N
0,0,0,0,0,0,2.033423755,0,3.494802604,0,0,0,N
0,0,0,0,0,0,2.045322979,0.301029996,3.270584191,0,0,0,N
0,0,0,1.301029996,0.301029996,3.751993578,0,0,0,0,0,0,N
