B1,I1,C1,P1,R1,F1,M1,B2,I2,C2,P2,R2,F2,M2,B3,I3,C3,P3,R3,F3,M3,B4,I4,C4,P4,R4,F4,M4,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.032397019,0,0,1.643452676,0.301029996,3.509518274,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.477121255,1.90162508,0,-0.176091259,1.544068044,0.301029996,3.132074001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.926373022,1.420028464,0.301029996,1.86923172,0.301029996,3.642116845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129347856,0,0,1.556302501,0,3.29666519,0,0,0,0,0,0,0,N
0,3.457454962,0,0,0.77815125,0,3.457454962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.263029207,0,0,2.206825876,0.301029996,3.263029207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,1.543641109,0,-0.301029996,0.698970004,0,3.156424966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,2.705891041,0,-0.176091259,2.184691431,0.301029996,3.819834394,N
0,1.371917087,0,0,1.041392685,0,3.607445533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.301029996,2.330006146,0,-0.301029996,1.51851394,0,3.409187392,0,0,3.407626509,0,0,0,3.407626509,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.301029996,2.695584007,0,-0.301029996,2.021189299,0,3.172705261,0,3.193124598,0,0,1.301029996,0,3.193124598,0,0,0,0,0,0,0,N
0.602059991,1.461819767,1.565521001,-0.124938737,0,0.477121255,3.934576216,0.602059991,3.812915178,0,-0.124938737,1.079181246,0.477121255,3.95698226,0.477121255,0,1.307255964,-0.477121255,1.531478917,0,3.407626509,0.602059991,0,3.28144031,0,1.612783857,0.602059991,4.269717222,N
0,3.375156861,0,0,2.238046103,0,3.375156861,0,3.723687452,0,0,1.880813592,0,3.723687452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.452928913,1.961567219,0,2.041392685,0.301029996,3.753958909,N
0.301029996,1.892199412,1.659069652,0.176091259,1.851258349,0.477121255,3.418737497,0,1.510688602,0,0,2.214843848,0,2.714808585,0,0,0,0,0,0,0,0.477121255,2.281205866,0,-0.477121255,1.959041392,0,3.395149218,N
0,3.149295725,0,0,1.079181246,0,3.149295725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.477121255,3.493321416,0,-0.176091259,2.245512668,0.301029996,3.727491597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.301266673,0,0,1.278753601,0,3.516110521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.895115827,0.477121255,1.73239376,0.477121255,3.895115827,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,1.514830248,0,-0.301029996,1.531478917,0,3.444249174,N
