1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000845172,0.000456795,0.000682598,0.000611826,0.000775914,0.000456795,0.000114199,0.000536785,0.000576064,0.157602776,0,0.346214347,0.000650983,0,0.000627163,0.000580982,0.000446162,0.000181001,0.000668974,0.000627163,0.000702294,0.000114199,0.000422586,0.000530323,0.000711324,0.000565763,0.000580982,0.0002952,0.000114199,0,0.000530323,0.000228398,0.000644522,0,0.00037936,0.000265161,0,0,0,0,0.000501597,0,0,0,0.000446162,0,0.000228398,0,0,0,0,0,0,0,0,0.000265161,0.000181001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253846669,0.000300593,0.000426363,0.133058097,0.000497703,0.000275437,0,0,0.000369106,0.000438311,0,0.000477191,0.000462426,0.000321534,0.000471492,0.000468543,0,0.000173782,0.047322795,0.000393056,0.000534356,8.68908E-05,0.000201754,0.000459253,0.201441027,0.000430474,0.000426363,0.000173782,0,0.000539544,0.000471492,0,0.000375536,0,0.000137719,0.000243933,0.000243933,0,0,0,0.000408425,0,0.000243933,0.000224609,0,0,8.68908E-05,0.000243933,0.000173782,0,8.68908E-05,8.68908E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.89339E-05,5.75325E-05,5.32446E-05,6.13788E-05,8.10263E-05,6.68308E-05,1.8406E-05,4.0174E-05,5.019E-05,1.16129E-05,0,7.18817E-05,0.338485678,0,7.21097E-05,5.69832E-05,4.42144E-05,4.29728E-05,7.23345E-05,6.96773E-05,7.64704E-05,0,3.48387E-05,6.09436E-05,6.8596E-05,5.69832E-05,6.18029E-05,2.69643E-05,1.8406E-05,0,0,1.8406E-05,6.18029E-05,0,0,0,0,0,0,0,0.145219111,3.00189E-05,0,0,5.10075E-05,0,2.69643E-05,0,0,1.8406E-05,0,0,2.69643E-05,0,0,2.69643E-05,1.16129E-05,0,0,0,0,0,0,0,0,1.16129E-05,0,0,0,0.000126776,6.85193E-05,0.00010239,9.17739E-05,0.000116387,6.85193E-05,1.71298E-05,8.05177E-05,8.64096E-05,7.85396E-05,0,8.64096E-05,0.585982737,0,9.40745E-05,8.71473E-05,6.69243E-05,2.71501E-05,0.000100346,9.40745E-05,0.000105344,1.71298E-05,6.33879E-05,7.95484E-05,0.000106699,8.48645E-05,8.71473E-05,4.42799E-05,1.71298E-05,0,7.95484E-05,3.42596E-05,9.66782E-05,0,5.6904E-05,3.97742E-05,0,0,0,0,7.52396E-05,0,0,0,6.69243E-05,0,3.42596E-05,0,0,0,0,0,0,0,0,3.97742E-05,2.71501E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.01322E-05,2.3805E-05,2.92308E-05,3.47114E-05,4.89151E-05,1.93179E-05,0,2.06436E-05,2.3805E-05,4.06464E-05,6.88119E-06,3.55752E-05,0.423581992,0,3.6112E-05,3.50078E-05,1.77876E-05,1.09064E-05,3.71055E-05,3.77905E-05,3.30803E-05,1.09064E-05,2.18128E-05,3.86359E-05,3.06862E-05,3.19552E-05,3.50078E-05,0,0,0,3.155E-05,0,4.35024E-05,0,1.93179E-05,2.28588E-05,1.93179E-05,0,6.88119E-06,0,0.097066165,2.06436E-05,1.37624E-05,0,2.28588E-05,0,1.59776E-05,0,1.09064E-05,0,0,0,0,0,1.09064E-05,1.09064E-05,0,1.09064E-05,0,0,0,6.88119E-06,0,0,0,0,0,0,0,4.52167E-05,2.14709E-05,3.04545E-05,3.15752E-05,0.08535612,1.96741E-05,0,0,2.63647E-05,3.13079E-05,0,3.40851E-05,0.396398466,2.29667E-05,3.3678E-05,3.34673E-05,0,1.2413E-05,3.34673E-05,2.80754E-05,3.81683E-05,6.20648E-06,1.4411E-05,3.28038E-05,3.58819E-05,3.07481E-05,3.04545E-05,1.2413E-05,0,0.09253181,3.3678E-05,0,2.6824E-05,0,9.83704E-06,1.74238E-05,1.74238E-05,0,0,0,2.91732E-05,0,1.74238E-05,1.60435E-05,0,0,6.20648E-06,1.74238E-05,1.2413E-05,0,6.20648E-06,6.20648E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002579084,0.001668443,0.001544094,0.001779984,0.707278928,0.001938094,0.000533774,0.001165045,0.001455511,0.000336774,0,0.00208457,0.001582984,0,0.00209118,0.001652511,0.001282217,0.001246211,0.002097702,0.002020642,0.002217642,0,0.001010321,0.001767364,0.001989285,0.001652511,0.001792285,0.000781964,0.000533774,0,0,0.000533774,0.001792285,0,0,0,0,0,0,0,0.001683868,0.000870547,0,0,0.001479217,0,0.000781964,0,0,0.000533774,0,0,0.000781964,0,0,0.000781964,0.000336774,0,0,0,0,0,0,0,0,0.000336774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003759916,0.001785375,0.002192309,0.002603357,0.737394973,0.001448845,0,0.001548267,0.001785375,0.003048482,0.000516089,0.002668142,0.002647167,0,0.002708398,0.002625584,0.001334071,0.000817982,0.002782916,0.002834285,0.002481023,0.000817982,0.001635964,0.00289769,0.002301464,0.002396643,0.002625584,0,0,0,0.002366249,0,0.003262678,0,0.001448845,0.001714411,0.001448845,0,0.000516089,0,0.002425846,0.001548267,0.001032178,0,0.001714411,0,0.001198322,0,0.000817982,0,0,0,0,0,0.000817982,0.000817982,0,0.000817982,0,0,0,0.000516089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002532136,0.00120237,0.001705454,0.532232388,0.001990813,0.001101749,0,0,0.001476422,0.001753245,0,0.001908765,0.001849705,0.001286136,0.001885969,0.00187417,0,0.000695126,0.00187417,0.001572223,0.002137425,0.000347563,0.000807016,0.00183701,0.002009387,0.001721895,0.001705454,0.000695126,0,0.002158176,0.001885969,0,0.001502142,0,0.000550874,0.000975733,0.000975733,0,0,0,0.001633699,0,0.000975733,0.000898437,0,0,0.000347563,0.000975733,0.000695126,0,0.000347563,0.000347563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
