R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
1.505149978,0.301029996,3.778236085,2.152288344,0,3.483136628,1.431363764,0.602059991,3.757504082,0,0,0
0,0,0,2.117271296,0,3.001568332,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.230448921,0.301029996,3.373093967
2.068185862,0,3.301136167,0,0,0,0,0,0,0,0,0
1.86332286,0.477121255,3.877845206,1.477121255,0,3.679763559,0,0,0,0,0,0
1.653212514,0,2.662948622,0,0,0,0,0,0,1.342422681,0,3.68136802
1.505149978,0.301029996,4.327879898,1.342422681,0.301029996,4.202145325,2.071882007,0.301029996,4.311550524,0,0,0
2.146128036,0.477121255,4.074278867,1.361727836,0.301029996,4.012769193,0.77815125,0,3.626694535,0,0,0
0,0,0,0,0,0,2.184691431,0,3.118691333,0,0,0
0,0,0,1.176091259,0,3.708656505,0,0,0,1.903089987,0,3.885454931
2.071882007,0,3.089745848,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.880813592,0,3.414484116,1.995635195,0,3.129826745
0,0,0,0,0,0,2.167317335,0,3.217774402,0,0,0
1.913813852,0,3.108157396,1.62324929,0,3.106596513,0,0,0,0,0,0
0,0,0,0,0,0,1.176091259,0,3.017196484,0,0,0
1.51851394,0.477121255,3.531055083,1.740362689,0.301029996,3.6729502,0,0,0,0,0,0
1.959041392,0.301029996,3.445125214,2.149219113,0,3.139879086,0,0,0,0.954242509,0.301029996,3.689814862
0,0,0,1.477121255,0,3.679763559,0,0,0,0,0,0
0,0,0,1.838849091,0.301029996,3.493015918,0,0,0,0,0,0
0,0,0,0,0,0,2.068185862,0,3.39707055,0,0,0
0,0,0,2.120573931,0,3.001568332,0,0,0,0,0,0
0,0,0,0,0,0,2.025305865,0,3.494802604,0,0,0
0,0,0,0,0,0,0,0,0,2.250420002,0.301029996,3.463771221
0,0,0,1.643452676,0.301029996,3.509518274,0,0,0,0,0,0
1.544068044,0.301029996,3.132074001,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.633468456,0,3.408333676
0,0,0,1.342422681,0,3.407626509,0,0,0,1.322219295,0,3.408333676
0,0,0,0,0,0,0,0,0,2.173186268,0.477121255,3.52455465
0,0,0,0,0,0,2.184691431,0.301029996,3.819834394,0,0,0
1.51851394,0,3.409187392,0,0,3.407626509,0,0,0,0,0,0
2.021189299,0,3.172705261,1.301029996,0,3.193124598,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.152288344,0,4.043621024
1.880813592,0,3.723687452,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.041392685,0.301029996,3.753958909,0,0,0
2.214843848,0,2.714808585,0,0,0,1.959041392,0,3.395149218,0,0,0
2.204119983,0,3.214684585,0,0,0,0,0,0,1.86332286,0,3.133538908
1.505149978,0.77815125,3.802939014,0,0,0,2.045322979,0,3.408460537,1.380211242,0,3.167317335
0,0,0,0,0,0,1.531478917,0,3.444249174,0,0,0
2.195899652,0,3.169302314,0,0,0,0,0,0,1.857332496,0,3.132866542
1.949390007,0,3.710217388,1.785329835,0,3.708656505,0,0,0,0,0,0
1.86332286,0.477121255,3.778530907,0,0,0,1.886490725,0.477121255,3.716442866,1.633468456,0.301029996,3.563618222
1.230448921,0,3.098997634,0,0,0,0,0,0,0,0,0
1.51851394,0,3.638647608,0,0,0,1.886490725,0,3.681241237,1.431363764,0,3.828966365
0,0,0,0,0,0,2.204119983,0,2.838805681,0,0,0
2.093421685,0.477121255,3.558234728,0,0,0,0,0,0,0,0,0
0,0,0,1.959041392,0.698970004,4.018937433,0,0,0,0,0,0
0,0,0,1.959041392,0,3.139879086,1.544068044,0,3.139879086,0,0,0
1.681241237,0.301029996,3.340410899,1.897627091,0.477121255,3.81122416,2.071882007,0,3.720751325,1.204119983,0.477121255,4.069104356
2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0
1.886490725,0.477121255,3.504589784,1.69019608,0.301029996,3.951666591,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.230448921,0.301029996,3.620437447
0,0,0,0,0,0,0,0,0,1.322219295,0,3.341922592
1.913813852,0,3.384758869,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.161368002,0,3.39707055,0,0,0
1.748188027,0,3.38393499,0,0,0,0,0,0,2.123851641,0,3.233938144
0,0,0,0,0,0,2.243038049,0.301029996,2.847857287,0,0,0
0,0,0,0,0,0,2.149219113,0,3.6787818,0,0,0
2.123851641,0,3.183411103,1.568201724,0,3.407626509,0,0,0,0,0,0
0.84509804,0.903089987,3.77669792,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.653212514,0,3.064697031
0,0,0,0,0,0,2.033423755,0.301029996,3.457078293,0,0,0
0,0,0,0,0,0,0,0,0,2.021189299,0.301029996,3.470019712
0,0,0,1.954242509,0,3.245512668,0,0,0,0,0,0
1.591064607,0,3.409187392,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.431363764,0,3.268157915,0,0,0
2.217483944,0,2.714808585,0,0,0,0,0,0,1.934498451,0,3.378770989
2.117271296,0.301029996,3.390367187,0,0,0,0,0,0,0,0,0
2.136720567,0,3.13008747,0,0,0,0,0,0,0,0,0
2.004321374,0,3.163475845,0,0,0,0,0,0,0,0,0
1.886490725,0.477121255,3.853613544,2.012837225,0.301029996,3.762818277,0,0,0,1.322219295,0.477121255,4.13624239
2.045322979,0.301029996,3.26462429,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.139879086,0,3.138173761,0,0,0
0,0,0,0,0,0,1.113943352,0,3.017196484,0,0,0
0,0,0,0,0,0,2.033423755,0,3.494802604,1.342422681,0,3.341922592
1.875061263,0.301029996,3.357115416,1.949390007,0.301029996,3.587563863,0,0,0,2.260071388,0.301029996,3.490480051
0,0,0,0,0,0,0,0,0,2.033423755,0,3.071889901
0,0,0,1.949390007,0,3.130922206,0,0,0,0,0,0
0,0,0,1.763427994,0,3.106596513,2.017033339,0.301029996,3.418065201,0,0,0
1.973127854,0.477121255,3.84613183,2.045322979,0,3.140405056,0,0,0,0,0,0
2.146128036,0,3.17356616,0,0,0,0,0,0,0,0,0
0,0,0,1.531478917,0,3.679763559,1.698970004,0,3.741403917,1.568201724,0.301029996,4.011870052
0,0,0,0,0,0,0,0,0,2,0.301029996,3.397104443
1.792391689,0,3.493004698,0,0,0,0,0,0,0,0,0
1.799340549,0.301029996,3.304507143,0,0,0,1.924279286,0.301029996,3.977557231,1.612783857,0.301029996,3.957651606
1.84509804,0,3.512484877,1.875061263,0,3.383745137,2.033423755,0,3.394222979,1.986771734,0,3.372919897
2.217483944,0,3.297643998,0,0,0,0,0,0,0,0,0
1.944482672,0,3.409187392,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.214843848,0,3.315926935,0,0,0
2.133538908,0,3.371927343,0,0,0,0,0,0,2.10720997,0,3.35887688
1.913813852,0.477121255,3.901051039,0,0,0,0,0,0,0,0,0
0,0,0,0.954242509,0.301029996,3.067229833,1.079181246,0,3.064457989,2.133538908,0.477121255,3.282543209
0,0,0,0,0,0,0,0,0,2.029383778,0.477121255,3.919371934
0,0,0,0,0,0,1.633468456,0,3.318226479,1.556302501,0.301029996,3.592398835
0,0,0,0,0,0,0,0,0,1.633468456,0,3.136951054
0,0,0,1.812913357,0,3.133538908,0,0,0,0,0,0
1.919078092,0.698970004,3.93605683,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.959041392,0.301029996,3.631935961
2.187520721,0.301029996,3.193833837,2.068185862,0,3.011445349,0,0,0,0,0,0
1.991226076,0,3.172705261,0,0,0,0,0,0,0,0,0
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0
2.049218023,0,3.153788186,1.851258349,0.301029996,3.596431956,0,0,0,0,0,0
2.017033339,0.602059991,3.732147461,0.954242509,0,3.407626509,2.184691431,0,3.118691333,0,0,0
2.113943352,0,3.153788186,0,0,0,0,0,0,2.127104798,0,3.200960356
1.602059991,1,4.768419581,0,0,0,0,0,0,0,0,0
0,0,0,1.959041392,0,3.506828085,2.198657087,0,3.850868922,0,0,0
1.913813852,0,3.409187392,0,0,0,1.785329835,0,3.11345412,1.531478917,0,3.408333676
0,0,0,0,0,0,0,0,0,2,0.301029996,3.423053232
0,0,0,0,0,0,2.161368002,0,3.731863959,1.204119983,0,3.982398016
0,0,0,0,0,0,0,0,0,0.903089987,0,3.29666519
2.155336037,0,3.17356616,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.407626509,0,0,0,0,0,0
0,0,0,0.698970004,0,3.408239965,0,0,0,0,0,0
2.146128036,0,2.996614002,0,0,0,0,0,0,0,0,0
1.880813592,0,3.337617612,0,0,0,0,0,0,2.130333768,0,3.356995562
0,0,0,0,0,0,0,0,0,2.056904851,0,3.137300608
0,0,0,0,0,0,1.86923172,0,3.927724531,0,0,0
0,0,0,0,0,0,0,0,0,0.477121255,0.301029996,3.987256884
1.544068044,0,3.409187392,0,0,0,0,0,0,2.206825876,0,3.606947999
1.079181246,0,3.142787837,0,0,0,2.240549248,0,3.107430542,0,0,0
1.531478917,0.698970004,3.927268074,1.361727836,0.477121255,3.547273388,2.181843588,0.301029996,3.639176636,1.556302501,0.301029996,3.477988576
0,0,0,0,0,0,0,0,0,1.146128036,0,3.064697031
2.075546961,0,3.089745848,0,0,0,0,0,0,0,0,0
0,0,0,0,0.602059991,3.63542392,0,0,0,1.963787827,0,3.466104093
2.195899652,0,3.371927343,0,0,0,0,0,0,0,0,0
2.045322979,0,3.163475845,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.10720997,0.301029996,3.585962523
1.740362689,0.698970004,3.601331506,0,0,0,0,0,0,0,0,0
2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.209515015,0,3.419721329,1.991226076,0.301029996,3.822536169
0,0,0,0,0,0,1.278753601,0.301029996,3.11916598,0,0,0
0,0,0,0.84509804,0,3.045222966,1.633468456,0.477121255,3.357390251,0,0,0
0,0,0,0,0,0,2.033423755,0,3.494802604,0,0,0
0,0,0,0,0,0,2.045322979,0.301029996,3.270584191,0,0,0
0,0,0,1.301029996,0.301029996,3.751993578,0,0,0,0,0,0
2.217483944,0,2.714808585,0,0,0,1.84509804,0,3.139879086,0,0,0
2.075546961,0.301029996,3.529716936,0,0,0,2.041392685,0,3.39707055,0,0,0
1.913813852,0,3.222162806,0,0,0,0,0,0,0,0,0
2.139879086,0,3.13008747,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.079181246,0.84509804,4.13806252
1.799340549,0.301029996,3.751379617,0,0,0,2.025305865,0,3.408460537,0,0,0
2.195899652,0,3.371927343,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.113943352,0.301029996,3.16552293,0,0,0
0,0,0,0,0,0,2.149219113,0,3.39707055,0,0,0
0,0,0,0,0,0,0,0,0,2.212187604,0,3.202461735
2.123851641,0,3.732147461,1.531478917,0,3.583717768,0,0,0,1.986771734,0,3.907977995
1.716003344,0,3.133538908,0,0,0,2.238046103,0,3.153012526,0,0,0
0,0,0,0,0,0,0,0,0,1.447158031,0,3.008600172
2.06069784,0.301029996,3.398119409,0,0,0,0,0,0,1.963787827,0,3.503709726
1.880813592,0,3.142787837,0,0,0,1.886490725,0,3.561264528,0,0,0
0,0,0,0,0,0,2.204119983,0.301029996,3.48296647,0,0,0
0,0,0,0,0,0,0,0,3.295577571,1.556302501,0,3.29666519
2.252853031,0,2.714808585,0,0,0,1.892094603,0.301029996,3.419986667,0,0,0
2.123851641,0.301029996,3.484441098,0,0,0,0,0,0,0,0,0
0,0,0,1.278753601,0,3.097725445,0,0,0,0,0,0
1.301029996,0.301029996,3.368039867,0,0,0,2.037426498,0,3.118691333,0,0,0
0,0,0,1.301029996,0.301029996,3.580780833,0,0,0,0,0,0
0,0,0,0.954242509,0,3.407626509,0,0,0,0,0,0
2.100370545,0,3.156222197,0,0,0,0,0,0,0,0,0
1.897627091,0,3.409187392,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.149219113,0,3.39707055,0,0,0
1.973127854,0,2.714808585,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.633468456,0,3.408333676
2.037426498,0.301029996,3.172705261,1.278753601,0.301029996,3.134175291,0,0,0,0,0,0
1.681241237,0.477121255,3.575708129,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.136720567,0,3.731863959,0,0,0
1.84509804,0,3.275088893,0,0,0,0,0,0,1.886490725,0,3.408333676
0,0,0,0,0,0,2.158362492,0,3.6787818,0,0,0
0,0,0,0,0,0,1.414973348,0,3.268157915,0,0,0
0,0,0,1.954242509,0,3.708656505,1.591064607,0,3.672641066,0,0,0
0.602059991,0.301029996,3.260972758,0,0,0,0,0,0,0,0,0
0.602059991,0,3.443817832,0,0,0,1.62324929,0,3.414484116,1.892094603,0.301029996,3.581540734
2.184691431,0,2.987384586,0,0,0,0,0,0,0,0,0
2.136720567,0,3.607208725,0.954242509,0,3.407626509,0,0,0,1.995635195,0.477121255,3.898030904
2.089905111,0,2.714808585,0,0,0,0,0,0,0,0,0
1.146128036,0,3.691502769,0,0,0,0,0,0,0,0,0
1.278753601,0,2.662948622,0,0,0,0,0,0,0,0,0
0,0,0,1.919078092,0.301029996,3.134175291,1.255272505,0.301029996,3.103815061,0,0,0
0,0,0,0,0,0,1.826074803,0,3.569187911,0,0,0
