1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1.823010171,1.231063795,0.477121255,0.77815125,0.477121255,3.877707205,0,0,0,0,0,0,0,0,0,2.930505254,0,1.278753601,0,3.407626509,0,0,1.938500104,0,2.033423755,0,3.7958326
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.948396119,0,0,1.740362689,0.301029996,3.948396119,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799712539,0,1.176091259,0,3.017196484
0,1.084238379,0,0,1.880813592,0,3.113622157,0,1.200668544,0,0,1.977723605,0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.765870336,0,0,0,0,3.765870336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.59700561,0,0,2.238046103,0,3.375156861,0,0,2.662948622,0,1.51851394,0,2.662948622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.477121255,3.112130326,0,-0.301029996,2.064457989,0,3.112130326,0.301029996,0,2.714808585,-0.301029996,2.06069784,0,2.714808585,0,0.944075273,1.502461879,0.602059991,1.544068044,0.602059991,3.787286465,0.301029996,0,2.81832043,0.176091259,1.73239376,0.477121255,3.895928629
0,2.589967946,2.074851255,0.77815125,1.755874856,0.77815125,4.451029635,0,0,0,0,0,0,0,0,0,3.779719583,0,2.255272505,0,3.779719583,0,0,0,0,0,0,0
0,1.964606265,0,0,2.217483944,0,3.21987877,0,1.233010103,1.057606881,0.477121255,1.681241237,0.477121255,3.575708129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2.394264468,0,0,2.204119983,0,3.695294464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301029996,3.523692518,0,0.301029996,0.602059991,0.301029996,3.852257807,0,0,0,0,0,0,0,0.477121255,1.544303649,3.006015373,0.301029996,1.531478917,0.301029996,3.911403448,0,1.854982224,0,0,2.041392685,0,3.700080264
0,3.138204664,0,0,1.880813592,0,3.138204664,0,0,2.714808585,0,2.204119983,0,2.714808585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.395970697,0,0,1.698970004,0,3.395970697,0.301029996,0,3.095439912,-0.301029996,1.662757832,0,3.396469907
0,1.890182498,1.00207584,0.698970004,1.633468456,0.698970004,4.009086666,0,0.518810126,1.616795702,0.301029996,1.748188027,0.301029996,3.743561563,0.301029996,0,1.68540978,0.176091259,1.146128036,0.477121255,3.674241133,0,0,0,0,0,0,0
0,3.61801858,0,0.477121255,1.73239376,0.477121255,3.61801858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.540075229,0,0,1.176091259,0,3.017196484
0,0,0,0,0,0,0,0,3.390383061,0,0,1.897627091,0,3.390383061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.400398708,0,0,2.004321374,0,3.400398708,0,0,1.132426758,0,1.832508913,0,3.193124598,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.317072642,0,0,2.11058971,0,3.379124146,0,3.395970697,0,0,1.544068044,0,3.395970697,0,1.386145287,0,0,0.77815125,0,3.626694535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.415136492,0,1.176091259,0,3.017196484
